id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ. [1],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly states that the SLA for handling a P1 ticket is 4 hours, which matches the information in the retrieved context (Ticket P1 resolution: 4 giờ). No unsupported or hallucinated content is present.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly provides the SLA duration for P1 tickets (4 hours), fully addressing the question.",5,Retrieved: 1/1 expected sources,2,"[LLM-Judge:openai/gpt-oss-120b] The model answer includes the resolution time (4 hours) but omits the initial response SLA of 15 minutes, thus only partially covering the expected key points.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng **7 ngày làm việc** kể từ thời điểm xác nhận đơn hàng. [1],Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Token overlap answer/context = 0.91,5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly and correctly states the refund request period (7 working days), fully addressing the question.",5,Retrieved: 1/1 expected sources,5,"[LLM-Judge:openai/gpt-oss-120b] Model answer includes the exact key point: refund request within 7 working days from order confirmation, matching the expected answer fully.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của **Line Manager**, **IT Admin** và **IT Security**. [1]","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer correctly states that Level 3 access requires approval from Line Manager, IT Admin, and IT Security, which directly matches the provided context in Section 2. No unsupported or hallucinated information is present.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly and correctly lists the approvers (Line Manager, IT Admin, IT Security) for granting Level 3 permissions, fully addressing the question.",5,Retrieved: 1/1 expected sources,5,"[LLM-Judge:openai/gpt-oss-120b] Model answer includes all required approvers (Line Manager, IT Admin, IT Security) matching the expected answer.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không, sản phẩm kỹ thuật số (như license key, subscription) không được hoàn tiền. [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly reflects the policy excerpt stating digital products (license key, subscription) are non‑refundable, and correctly cites the supporting source.",5,[LLM-Judge:openai/gpt-oss-120b] The answer directly and correctly addresses the question about whether digital products are refundable.,5,Retrieved: 1/1 expected sources,5,"[LLM-Judge:openai/gpt-oss-120b] Model answer includes all key points: states no refund, specifies digital products (license key, subscription) as non-refundable, matching the expected answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,[LLM-Judge:openai/gpt-oss-120b] The answer directly matches the statement in the retrieved context (section 1 of support/helpdesk-faq.md) and is fully supported with no hallucination.,5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly and correctly states that the account is locked after 5 consecutive failed login attempts, fully addressing the question.",5,Retrieved: 1/1 expected sources,5,[LLM-Judge:openai/gpt-oss-120b] Model answer includes the exact expected statement; no key points missing.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:  
- Khi có sự cố P1 (CRITICAL) cần thay đổi quyền hệ thống ngoài quy trình thông thường, quá trình **escalation** được kích hoạt tự động (v2025.3).  
- **On‑call IT Admin** có thể cấp quyền tạm thời (tối đa 24 h) sau khi được **Tech Lead",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,4,Token overlap answer/context = 0.82,4,Query-answer token overlap = 0.80,5,Retrieved: 1/1 expected sources,2,"Expected coverage=0.37; missing sample=['10', 'engineer', 'escalate', 'hồi', 'không', 'lên', 'nếu', 'phút']",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tài liệu “Approval Matrix for System Access” là **it/access-control-sop.md** (trước đây được gọi là “Approval Matrix for System Access”)【1】.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,Token overlap answer/context = 0.71,5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly identifies the document (it/access-control-sop.md) that serves as the Approval Matrix for system access, fully addressing the question.",5,Retrieved: 1/1 expected sources,4,"Expected coverage=0.69; missing sample=['có', 'hiện', 'mới', 'tên', 'tại']",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa **2 ngày mỗi tuần**. [1],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly reflects the statement in the provided context that employees can work remote up to 2 days per week, and correctly cites source [1]. No hallucination or unsupported content.",5,[LLM-Judge:openai/gpt-oss-120b] The answer directly and correctly addresses the question by stating the maximum number of remote days per week.,5,Retrieved: 1/1 expected sources,2,"[LLM-Judge:openai/gpt-oss-120b] Model answer includes the maximum of 2 remote days per week but omits the condition that it applies after the probation period and requires Team Lead approval, missing key parts of the expected answer.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không có thông tin trong ngữ cảnh được cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",3,Token overlap answer/context = 0.60,1,"[LLM-Judge:openai/gpt-oss-120b] The answer does not address the question about the ERR-403-AUTH error and its handling; it merely states lack of information, which is irrelevant.",,No expected sources,2,"[LLM-Judge:openai/gpt-oss-120b] Model answer mentions lack of information, matching part of expected answer, but omits the suggested possible cause (authentication) and the recommendation to contact IT Helpdesk, thus missing key points.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không, theo tài liệu đã cung cấp, quy trình hoàn tiền không có sự khác biệt nào dành riêng cho khách hàng VIP.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,Token overlap answer/context = 0.50,5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly addresses the user's question about whether the urgent refund process differs for VIP customers, stating that it does not. It is concise and relevant.",5,Retrieved: 1/1 expected sources,2,"Expected coverage=0.37; missing sample=['3', '5', 'chuẩn', 'chính', 'cùng', 'cả', 'cầu', 'cập']",baseline_dense
